LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
LICFDD-2017-00013,Active,Akari Sushi,2024/06/30 05:00:00+00,Active,"811 S Gammon RD
Madison, WI 53719",811,S,Gammon,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1477
LICFDD-2017-00014,Active,Five Guys Burgers & Fries,2024/06/30 05:00:00+00,Active,"2253 Zeier RD
Madison, WI 53704",2253,,Zeier,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1478
LICFDD-2017-00023,Active,Madison Oriental Market,2024/06/30 05:00:00+00,Active,"1197 N Sherman AVE
Madison, WI 53704",1197,N,Sherman,AVE,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1479
LICFDD-2017-00026,Active,Domino's Pizza,2024/06/30 05:00:00+00,Active,"737 S Gammon RD
Madison, WI 53719",737,S,Gammon,RD,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1480
LICFDD-2017-00027,Active,Jet Room,2024/06/30 05:00:00+00,Active,"3606 Corben CT
Madison, WI 53704",3606,,Corben,CT,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1481
LICFDD-2017-00033,Active,Drumlin Ridge Winery,2024/06/30 05:00:00+00,Active,"6000 RIVER RD
WAUNAKEE, WI 53597",6000,,RIVER,RD,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,WAUNAKEE,1482
LICFDD-2017-00034,Active,Madison College Goodman Sports Complex,2024/06/30 05:00:00+00,Active,"3201 ANDERSON ST
Madison, WI 53704",3201,,ANDERSON,ST,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1483
LICFDD-2017-00037,Active,Kung Fu Tea,2024/06/30 05:00:00+00,Active,"449 State ST A
Madison, WI 53703",449,,State,ST,A,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1484
LICFDD-2017-00039,Active,Canteen,2024/06/30 05:00:00+00,Active,"111 S Hamilton ST
Madison, WI 53703",111,S,Hamilton,ST,,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,Madison,1485
LICFDD-2017-00042,Active,Cafe Zupas,2024/06/30 05:00:00+00,Active,"8310 GREENWAY BLVD, SUITE 106
MIDDLETON, WI 53562",8310,,GREENWAY,BLVD,106,,,,,,,,2024/02/24 11:00:07+00,Primarily Restaurant,MIDDLETON,1486
LICFDD-2017-00045,Active,Cp Mart,2024/06/30 05:00:00+00,Active,"2770 S SYENE RD
FITCHBURG, WI 53711",2770,S,SYENE,RD,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,FITCHBURG,1487
LICFDD-2017-00047,Active,Cp Mart Ne,2024/06/30 05:00:00+00,Active,"4905 Commercial AVE
Madison, WI 53704",4905,,Commercial,AVE,,,,,,,,,2024/02/24 11:00:07+00,Retail Food Establishment,Madison,1488
